id,word,context,gold_sense
0,uber,i have never posted on the theme of before but i must confess is probably the closest it is going to get on insta always dressed totally fabulous and so much fun to work with on our christmas party she is also uber talented at making vibrant jewellery and sells awesome vintage clothes such as the jumpsuit i am wearing in this photo give us a like and follow her page if you want to look this ace too,intensifier
1,uber,now pouring on our draught all for one hazy ipa abv a big juicy hazy american ipa brewed in collaboration with megan stone this juicy uber hoppy beer is double dry hopped with citra motueka cascade giving it powerful american muscle flavours of passionfruit grapefruit citrus tropical fruits brewed as part of all for one one for all diversity campaign enjoy it,intensifier
2,uber,highly recommend pregaming with uber eats,brand
3,uber,truly an icon but about to disappear the one and only london black cab it is a real petty seeing them being replaced by these new and modern pseudo look alike electric versions and the increasing competition through hardly qualified and often unreliable uber drivers using the cabs since the years i am traveling to this city i cannot tell how many times they really helped the knowledge of the london streets the cabbies have is unparalleled and once you are in one you are in good hands thank you,brand
4,uber,dealsourcr marketplace is going live this week to get early access open the app and upload your profile photo and company details if you have one dealsourcr marketplace is the safest place to buy and sell packaged property deals we protect all parties involved and finally put an end to bad sourcers investors much like ebay airbnb and uber we have a two way feedback system everything will be transparent from day one let us know if you have any questions,brand
5,uber,birthday old lady abi is there on the bottom right but the whole crew is ready to hit the town hurry up uber,brand
6,uber,the ultimate kylie quiz tuesday th march hosted by mark wilson i know you would rather be in my arms and you can confide in me if he is not up to scratch because even though i am not there i cannot get you out of my head but he has promised me that he is going to have you all spinning around so this quiz is especially for you uber kylie fans i can put my hands on my heart and tell you that this quiz is going to tax the hell out of your kylie knowledge special kylie prizes are up for grabs as well as all those bar tabs and free booze dm or speak to the bridge directly to ensure your table is secured,intensifier
7,uber,i had to repost this insta story from he actually asked the uber driver for tissue and took it,brand
8,uber,this is not a drill are not playing around with their vegan afternoon tea everything you see in these pictures is vegan except for matt who is circa vegan and i am working on that everyday back to the tower of treats first up they lay serious foundations with well thought out sandwich fillings our fave was the lemon roast tofu with sage chestnut and cranberry stuffing the little wild mushroom toasts were adorable and delicious next up savoury treats in the form of a quinoa bon bon which has changed the face of quinoa from overrated superfood to omfg how did you do that parsnip bhajis super crunchy and gorg if i was to be hypercritical i would sling a bit of mango chutney or raita in the mix to dip and the little chestnut mushroom sausage roll i could have eaten scones yaaaas buttery buttery goodness with no butter and vegan clotted cream serious props to the chefs for coming up with this levels above anywhere else i have been given a vegan scone sweets were the literal icing on the tower of cakey dreams rhubarb ginger mousse which was perfectly balanced light creamy and the grand finale my fave dessert of all time bold statement lemon meringue pie crisp pastry thinner than the wing of a butterfly like physically impossibly thin and crisp filled with smooth tangy lemon curd and topped with bouncy little clouds of meringue so yeah we rolled outta there into an uber pool then rolled on into bed all in all it was a damn fine way to spend a sunday especially with dennis knocking round highly recommend,brand
9,uber,uber excited to be part of the festival as a branding judge this year they are asking the creative industries to imagine everything so do not miss the chance to take part in the awards and imagine winning cannot wait to see all your amazing projects,intensifier
