id,word,context,gold_sense
0,manifest,saturday th jan yep is going to be laying down some funky ukg dubs to manifest power and success in your come down to the basement for an afternoon seminar with incognito radio and friends oh yeah will be providing the food you all,
1,manifest,the tube map of yor mind the map is not the territory i went to an illuminating talk by advertising guru and behavioural science expert rory sutherland today one highlight amongst many was his use of the london tube map to illustrate the mental maps we all create in our minds as means for navigating and understanding the world just like the london tube map our mental maps contain distortions all based on the way we laid down and encoded them experience after experience and from a psychology perspective these distortions are manifest as cognitive biases and heuristics now rory was highlighting how problems can arise when we are all begin to use the same maps what i took from this was how societal influences norms and pressures all accumulate to create that conditioned part of our minds manifest as part of our cultural identity values belief customs and even preferences that is a big rabbit hole to chase ourselves down and as i see it if we are on that journey the more self aware we become over time the grip on our individual values and beliefs usually loosens as we see through the enormous power that societal and tribal conditioning has on the way to think and feel and perceive the world for some people this is challenging to realise for others it is truly liberating our maps are not fixed as part of my teaching and coaching the deepest area of exploration is not the content of our unique map of the world but how we create those maps and what keeps us so often beholden by these maps which can become entrenched and inflexible particularly when we believe that our map is reality i ask clients to reflect on what the maps are made of and to explore that if the maps are not fixed and are only held in place via our beliefs albeit unconsciously most of the time not only can these maps change but they do not have to control us waking up to how we create our own realities can be transformational albeit it is a journey that can challenge our assumptions and beliefs to their core and it has no absolute end if that is the price of greater freedom from the map i am willing to keep paying my subs,
2,manifest,another year another round with the and arguably even shinier than the last one massive thank you to for being such generous hosts the performances were all incredible and winners deserving has been a brilliant year and in the months since i started this journey i feel i have come so far last night was a bit of a manifest to that i was able to go out enjoy every bit with some absolutely fantastic people around some prefer to keep work and private completely separate i say if people are good people i could not care less about the venue love ya ll,
3,manifest,prosperity courage is back in stock use the power of scent to manifest amond attracts good fortune prosperity and wisdom and cardamon relaxes the body and stimulates the mind boosting your confidence and blessing you with courage to go out there and make money wooooo add a gold coin to the jar as your candle is burning and say the words i am a money magnet for extra oooomph all of my candles are lovingly hand poured within a protected circle of joy and they burn for around hours,
4,manifest,to celebrate international women s day we hosted our first vision board party thank you to the huns who came down we cannot wait to see you manifest your goals for beyond goodie bag sponsors by,
5,manifest,hi just me minding my own business doing me and pushing negativity away from me those parents did not raise me to do otherwise and i have grown to choose to do this for myself how we decide to feel and think is our choice how we feel is nobody elses job or duty the decisions we make are ours the thoughts we hold every second manifest into reality in these very surreal and testing times just remember have an incredible day darlings stay safe and clean,
6,manifest,going with the flow lately i had a realisation whenever i said i am going with the flow nothing changed let me explain if you are getting out of bed and telling your self to go with the flow you end up recreating what you are familiar with nothing wrong with that if you have a plan in motion but if you feel like you want to change your life up going with the flow will not help you have to understand how powerful our subconscious mind is it will do everything in its power to protect you from change so now imagine going with the flow which flow the flow you are used to if you want a new flow expect resistance simply getting out of bed mins earlier is difficult imagine doing something that is way out of your comfort zone your internal world will feel like chaos all sorts of fears will arise your subconscious mind will do anything in its power to keep you where you are to keep you safe so go with the flow only after you have already taken a step into the unknown that initial step though will not be your flow it will be the new flow you want in your life difference between you being your own boss and having one is this you consciously choose everyday to create your flow remember go with the flow after taking that first step start your day by making a plan and do what is the most difficult for you first thing in the morning this are not just about motivation but getting you to understand you will never feel ready for change never we are hard wired for comfort even when it comes to uncovering your inner wounds this applies to it if you constantly choose to go with the flow everyday will feel the same if you always do what you have always done you always get what you have always gotten tony robbins also i have time slots available if you want to know how to deal with the internal chaos and manifest like a boss link in bio peace love,
7,manifest,one of my favourite pieces to date this skirt not only did me well at carnival last year but it tells a story of my african and caribbean heritage and it is impact upon my style choices and direction today being a second generational child of the windrush i have seen first hand the difficulties faced at times within this community it is crazy how this is still leaving an impact on people s lives in the way in which it is as if the ptsd is not enough people are still struggling in their fight to gain basic human rights and freedom something that was striped away from our forefathers and mother s for languages sake a long time ago but i guess it takes a while to turn a ship we can however each do our bit to help speed up the process to help get that ship turnt to move in a positive direction and not allow hate and inequality to manifest,
8,manifest,this new month of march the power that created something out of nothing shall miraculously open ways for me to have access into my promised land in jesus name regardless of my location under the sun like daniel esther paul and joseph excelled in a foreign land my life shall manifest excellence across generations in jesus name may the lord sufficiently provide for my needs and make helpers available for me always in jesus name i declare blessings over all my endeavors today and forever in jesus mighty name amen good morning and happy new month,
9,manifest,for many women we are still learning to embody our bodies i see this lack of incarnation presenting in women who exhibit a constant subconscious need for permission to make inner decisions trouble articulating they even have needs to say nothing of their dreams and desires the feminine has learned to believe that it is impure and less than a badness inherent to simply being a woman believing herself to be unworthy the modern woman attempts to redeem herself through doing productivity achievement acquisition domains of the masculine in healing wellness spiritual circles this can manifest as orthorexia psychospiritual perfectionism and spiritual materialism having personally fallen into these traps i know all too well about the attachment to doing healing perfectly and being the perfect recipient of abusive behavior and no it is not possible to love and light yourself out of an abusive relationship especially if you believe that abuse is caused by you and or your responsibility to fix there is something to be said for rigor and hard work when a diligent practice and commitment to one s own growth is rooted in self love this is an honorable way into greater consciousness the heart higher balance etc but when the doing is out of balance with the being and is rooted in the disowned feminine that is not enlightenment that is a hamster wheel the patriarchy has always wanted its women especially woc to remain obedient children disconnected from our true beings talking of our trauma will only get us so far in remembering the truth the body holds a different intelligence and wisdom when we separate from the illusion of badness we can come into a deeper alignment with ourselves the inner trusting knowing and allowing themes of the divine feminine are embodied and awakened leading to dramatically different potentials image from yesterday s visit to the national gallery detail of saint mary magdalene by carlo crivelli mary holds a jar that holds oil used to anoint christ her sly glance may suggest the possession of secret knowledge,
10,manifest,sometimes if we are anxious it can be tempting to bury our head in the sand and hope the thing we are worried about will just go away this is not a helpful strategy as it means that not only does the problem remain unsolved but we now have a second problem of being anxious about the first problem this can manifest in overt ways such as worrying rumination and insomnia and it can also manifest in the body through digestive problems headaches and migraines back pain and tooth clenching and grinding when an anxiety provoking issue arises a good first step to dealing with it is to ask yourself if you can take practical steps to solve or mitigate the problem if yes get on and do so quickly avoiding the temptation to procrastinate may be uncomfortable in the moment and require courage but will save you a lot of worry in the future sometimes the task may be large in which case breaking it down into more manageable chunks can help sometimes all we can do is take baby steps towards a resolution but keep on moving towards the end goal if the problem is not one you can solve then you will need to manage your emotional response to the ongoing situation the first step to doing this is acceptance which i will be explaining more about in future posts,
11,manifest,new welcoming the spring meditation and crystals workshop sunday march pm at wellness centre link in bio to book early bird price available until march spring is the season to bloom it represents rebirth vitality and spiritual awakening during the dark cold months of winter we had our introspective hibernation time as the spring equinox arrives the dreams ideas and visions we nurtured throughout the winter begin to emerge and we feel called to take the next step in our creative cycle to take action this is a powerful time for planting the seeds of our dreams and crystals are powerful allies to manifest our intentions join me for a blooming meditation crystals workshop to welcome the energy of the spring with balance and clarity to manifest your dreams we will begin the afternoon with a meditation and crystal sound bath that will help you clear out any stagnant or lingering energies from the wintertime we will then hold space for a beautiful ritual to plant crystalline seeds of intention expect a sacred space to journal your own green aventurine crystal the stone of opportunity and a small plant to take home with you and watch your intentions bloom in your life link in bio to book your spot,
