id,word,context,gold_sense
0,ish,the maestro is back in the or as i like to call it do not know the name of this one but it is of and sliced thinly freshly and s sliced with more seasoning for ish minutes to soften then add the fish with more seasoning style food we cannot get enough of this one never tried it with jerusalem artichokes before so i will be interested to see how it turns out i will be posting the end results shortly it is good to be getting back into my normal routine it is all been a blur with the ton of meds and but i am enjoying life with my little family who have all been there for me thanks for all the kind messages i really am a lucky guy,hedge
1,ish,happy new year babes i have been talking a lot on about strength and getting stronger this year above are three exercises great for increasing your strength this year deadlifts with a pulse deadlifts into a front squat side squat walks deadlifts squats are my two favourite exercises by adding tension pulsations movement and combinations you are making two very basic exercises that little bit more difficult this bar is kg if i did deadlifts and squats alone i would not find it very challenging by changing the exercises slightly i am putting my muscles under pressure pressure leads to growth progressive overload is a training principle all about increasing the intensity of your training this is key if you want to grow this year use these videos as a form check and start with a light ish weight until you have got the form right before increasing the weight steadily it is a new decade let us grow together outfit,hedge
2,ish,what is your biggest challenge at the moment not knowing why i am here for what purpose is something i wrestled with throughout my twenties one thing i knew for sure is that it definitely did not feel like i had been created just to work at my ish job in the city more recently i have come to realise i always knew what i wanted to do what path i wanted to follow i just never had the self belief to give it my best shot snapshot of,hedge
3,ish,and his big ish band join us on saturday for a night of funk soul and rock n roll from pm entrance is free but there will be buckets going round on the night to raise money for david s charity which puts music and arts education into township schools in south africa,hedge
4,ish,taking hours ish flight with another hours stop over in between was definitely something yeh,approx
5,ish,alexa drop in with the kids yesterday basically the same as facetime but i just pop up on the alexa show in the kitchen much to the kids delights and screams of its mummy spending the morning with them today and off on another bike ride round the park shortly get some fresh ish it is london after all air in us have a great sunday,hedge
6,ish,matcha softserve chinese new year need to get my matcha ice cream tsujiri branch in china town really make a great softserve ice cream so creamy and so matcha ish long time did not have such satisfying ice cream request a more matcha ish ice cream and they really make for me woohoo thank you so much recommended,hedge
7,ish,tryanuary ish bottle shares a tto has seen new beers happen already top from st share of the year josh s adambier from woodland park brewery was a lovely surprise so smokey the anniversary coward was part of a yellow belly vertical and was a fab sweet treat thanks,hedge
8,ish,had a great time at yesterday getting the mastering for my new record done first time with matt colton who did an amazing job new ep out soon ish via,approx
9,ish,we are back this friday for another bright and sunny ish lunch session at pm we are leaving some vouchers out around the area so keep your peepers peeled for a colourful discount,hedge
10,ish,aaaand relax well ish how does a year go so fast brits been and gone thanks to everyone that makes it such a special night and thanks to our incredible team we could not do it without ya,hedge
11,ish,i am not really supposed to drink coffee at the moment but today was one of them mornings when i barley could get out of bed as i have been up all night writing however got to my local coffee shop by the station at am ish and sam the old gent who works there was a bit busy with a delivery and said sorry darling it might take a minute but you have worked in a coffee shop before feel free to make your own cappuccino and it is on the house today lol bad service you all probably think but nah my point is that there is nothing that i appreciate more than people that pay attention to what you say and remember the little things although it might not be relevant to them at all anyways it made my day because i had a laugh making the most awful and burnt cappuccino of my life,approx
12,ish,midweek check in thought i would do a little update for you all as for the past ish weeks i have not really been myself and sometimes it is okay not to be okay i am going through changes in my personal life that scare me and although i understand change can be a good beneficial thing and in the end i will be able to come out living a life in which i truly cherish myself the immediate effects of this are tough really really tough physically mentally i have felt drained and just not wanting to be interactive or achieve anything food wise well the past week i have tippled back down into a spiral of starving myself in the day before binge eating in the evening it is been rough and last night i have really been feeling the effects of how unhealthily unhappy it is making me although i am great at putting on a happy face at times i cannot keep up that facade when in reality on the inside i am really struggling so today we are starting afresh starting a new picking myself up more determined than ever i say this often but it needs reiterating i am doing this for me this is something that nobody else can do for me and something i do not want anybody else to do for me,approx
13,ish,london is pretty ish in the sun,hedge
14,ish,shape shifter everybody always got an opinion about every damn thing and always will people be making you feel shitty about who you are that ish are not cool we are who we are the second we breath air fortunately or unfortunately things happen to and around us that alter and change who we become i am tired of being seen in a specific type of way or fitting into everyone else s view of who they believe i should be so i said f k it to everyoneee i swear everyone around me thought i was loosing my damn mind cuz they are not ever seen me not follow the rules shiiit i am making up my own damn rules deuces take that eat it suckersssss,noun
15,ish,how do you capture something as intangible as a historical scent scent plays an important role in our culture and heritage but many are in danger of being lost forever ish researcher cecilia bembibre is recovering extinct scents from the past preserving those in danger of being lost to find out more click the link in our bio smells of heritage bbc future,approx
16,ish,th game of the season another solid performance from the boys against a very good side we played direct and created a lot of chances early on in the game but was unable to score we re grouped and came out strong in the second half and got the win to get to the final date we will be released soon for all to come and enjoy a great day at the final come on heavyn heavynnnnn neverrrrr half time score full time score goal scorers ish assists tobi man of the match jay heavyn looks to bringing home another win this coming sunday am hackney marshes come down support the boys,approx
17,ish,day cont view from the side after hrs at c no stir a layer of the flour mix has floated to the top and displaced the fluid that was sitting there yesterday i suspect this is the bag of grapes being inflated and risen strong smell of yeast today definitely fermenting a lot more condensation than yesterday and not just on the walls there were some accumulated on the cling film as well liquid turned brown purple ish will keep it like this for another day and probably start feeding it tomorrow when the yeast eat up all the sugar in the grapes,hedge
18,ish,my mums beetroot sandwich on the menu for x first week my mum used to pressure cook the beetroots and peel them we would then slice them hot into cheap ish white bread and cover it with salad cream for the best sandwich possible ours is cooked in the embers from smoking then roasted with stout molasses and rapeseed oil smothered with cultured salad cream and with some of yesterday s toasted bread on top,hedge
19,ish,my mums beetroot sandwich on the menu for x first week my mum used to pressure cook the beetroots and peel them we would then slice them hot into cheap ish white bread and cover it with salad cream ours is roasted in the embers from smoking then roasted with stout molasses and rapeseed oil smothered with cultured salad cream and with some of yesterday s toasted bread on top,hedge
20,ish,a few of s yummy dishes if you are still yet to visit this new ish restaurant and bar on clapham high street then you need to set a date they are amazing blend the tradition of italian cuisine and aperitivi culture together and serve authentic italian food with a modern twist they also do incredible cocktails plus the atmosphere is cosy but still lively and the people are lovely check their website for the full menu there are some absolute must try s like the testaroli pancake pasta are the only restaurant in london to serve it and it is the oldest recorded pasta originally from etrurian civilisation in tuscany they also do breakfast and bottomless brunch at very reasonable prices clapham high street pretty much opposite infernos sw ss we have listed all of s details in the restaurants section of including contact details and opening hours,hedge
21,ish,i hate nature but this is cute ish,hedge
22,ish,little grufallo goes for a walk a couple of saturdays ago word on the street was that batman spiderman was popping in for a visit at the we were there early at i thought they would be there straight away but the superheroes were still snoozing so i let nova go for a little walk about and a bit of window shopping since they did not arrive for another ish minutes actually i put her in the little softplay area first but she did not stay in it as she wanted to give her little legs a proper stretch,approx
23,ish,imperial ipa after a big queue and a last minute boost to the can allowance at i was left with a choice for an th us brew to be honest i am not sure why i went with the option as they are much more hit and miss for me compared with other us brewers saw a fair few reviews for this either as a meh or a drain pour it was pretty firmly in the former category for me thick ish little juicy with tangerine and peach but a little rubbery and kind of muted underwhelming all in all drinkable but definitely not worth the import price hoping it is the only one like this of the bunch,hedge
24,ish,hold yer horses oh what joy the first time in about months that i have run home from work when it is light a combination of a real spring feeling a productive day and running along the river meant that i had to convert the miles easy planned into a miles steady ish as i set off way too quick and could not get my brakes on i have just started reading a book that my friend gave me about overcoming stress anxiety and depression and i am holding off talking about it as i really do not want to start spouting uninformed drivel when i am yet to fully immerse myself in the practice but it is so good that i had to run home with it in my hand tonight so that i am able to spend my tuesday curled up reading it have a mindful tuesday friends,hedge
25,ish,march vegan weekly menu challenge day veggies couscous this recipe is inspired in the moroccan classic recipe of veggies cous cous we have removed the meat from the recipe and make the preparation a bit faster this is a meal neddless to say will win the taste of all your guests kids included make sure with this recipe you aim for success so if you want something earthy tasty nutritious and that fullfills you here you have it serve with a salad as a side dish and do not forget your fruit ideally before ithis meal for those that just joined us i am doing a monthly challenge of vegan meals that everyone loves and do not break your wallet check my first posts on my feed for this month menu and shopping list are there every sunday get your shopping list of your week ahead ingredients medium potatoes carrot small white cabagge glass of chickpeas glass of couscous tbsp extra virgin olive oil tbsp vegan butter tbsp tomato pure tbsp turmeric tbsp cumin saket powdered zaffron small onion salt to taste garlic preparation in a pot heat the oil and add the onion and garlic chopped in small pieces when golden add turmeric cumin and zaffron add the potatoes cut in medium side add the carrot cut in half and removing the core and the zucchini cut in half add salt and glasses of water and let simmer in low fire chickpeas should have been in water overnight add them to the pot when you see the veghies and chickpeas are soft after ish minutes put glass and a half of water to boil when boiling add couscous remove from fire cover anf let it be for minutes once the couscous is fluffy add vegan butter and mix with a fork if you have a vegan burger in the freezer you can use it for this meal cut in stripes and add it to the pot of veggies and let it cook bon appetite,approx
26,ish,its of the clock now in south africa so i am perfectly on time you are ish kilometers away but still happy rd big bro have a good one i miss you and i hope to see you soon love boy jo,approx
27,ish,when a random guy ruins a rare non terrible race photo legs feeling surprisingly fresh after sunday s big half excited for the remaining ish weeks of training before hopefully the london marathon,approx
