id,word,context,gold_sense
0,fam,happy th to the og bro it is been a minute years and counting bro pleasure is all mine and mad love blessed to call you my brother my fam my g happy birthday,social
1,fam,next week with my fam at introducing for his first time in london the bro from paris this is going to be fun,bio
2,fam,thank you friends fam for all the happy birthday messages today so nice to hear from you all i thought you would all forgotten me haha had a great day with my family our new puppy and my incredibly loving fiance x,bio
3,fam,dim sum with the fam,bio
4,fam,sunday vibes courtesy of it cannot all be work and chaos sometimes it has to be crepes as big as your face and lounging and lego and ironing my sunday with the fam,bio
5,fam,i went to peckham last night walked in at am had the best time fam you guys are everything so glad i caught this moment amazing to share the space with you all love you l o n g time,vocative
6,fam,happy sunday fam stay tuned for my interview with collins aiyegbunem on tuesday at am on my youtube channel new discovery tv london,vocative
7,fam,trip out to that big london with the fam told off for snoozing during show by eldest it is a funny show,bio
8,fam,happy new year errone my first post is all about yesterday at the nigerian doctors in london hangout omg it was a fun day i have not had that much fun in a very long time and my oh my i am still suffering the effects of it doctors do know how to have fun i wish you all a great week ahead fam,vocative
9,fam,i am going to be real with you fam i have never listened to a beatles song,vocative
10,fam,event to go les go enjoy the last push ups and downs but ready to soak up the last bit thanks for all ya support laaaaandan fam coach,vocative
11,fam,a lovely sunday stroll along the embankment at tower bridge this morning with the fam,bio
12,fam,did not have planned to enter jd competition and then it ended up entering with my baltic brother family and just letting it be took it as a self expression therapy big up for all my people i met there for sa fam bringing the realness and for entering with me popping and filming our hiphop round p s it is only my part because could not fit in the minute check my partner part at family,social
13,fam,wicked wednesdays with the fam,social
14,fam,on a cool day with fam,social
15,fam,deer spotting during richmond fam laps,social
16,fam,wagwan fam the weather s good and all that you get me,vocative
17,fam,the verdict s out after a brilliant trial at and knocking the chicken katsu curry off the perennial top spot one faithful evening shu s shiok chicken rice is now going to be on the menu of other sites canary wharf glasgow city centre bristol cribbs causeway tunbridge wells manchester st peter s square chichester it is also now firmly on the menu hurrah huge thank you to those who had a bowl or three thanks fam friends colleagues and thank you as well for all your feedback the chefs and i have continued to fuss over the dish and will continue to perfect it as it rolls out if you have not had the chance to try it because you are not london based i hope you can and do now,social
18,fam,thanks again to for having me grace the stage with the team cannot lie it has been a minute still had to kick the dust off and show them that we here to stay fam woosh it is been months of hard work and nights on end in studio but to see it all coming together oi cannot wait to see what the next few months look like its going to be,social
19,fam,it is the third month of the year and i am revisiting one of my new year s resolutions better money management personally i am happy to spend on workout classes that make me feel fit and strong usually bought in bulk to reduce cost per class travel to new places and to visit fam friends always planned in advance for the best deals rather than pricier last minute getaways spoiling those i love recently been loving s amazing prices for activities and restaurants in london while i opt out of buying lunch from pret during the week i do a big shop each weekend and spend on food for a whole week drinking out all the time obv there are exceptions but i would rather split bottles of wine at home w friends for the price of one cocktail at a bar shopping i can count on one hand the number of brand new items i have bought since moving to london as i am realizing how much i love and get good use out of the clothes i already have charity shops are also a fab option no one likes talking about money and instagram s highlight reel only captures the peak of the mentality not the tougher decisions or compromises we all have to make it is also worth remembering that indulgences look different for everyone hopefully this was helpful for someone as for ma fiscal to do list for this weekend set up a direct deposit to my aberdeen standard investments account create a budget for an upcoming long weekend to dublin meal prep for next week,social
20,fam,this week fri skate park soundclash with special guests rory milanes jagger will bankhead plus foss bmt djs hip hop dub jungle garage and dnb sat come we grow identity and sustainability through music and performance musicians mcs dj s environmentalist and activists come together to regardless of language culture or knowledge to have fun and be inspired sun free film night film night bring your mates your dates your fam your self s and cuddle up with our free film nights hot cocktails hot water bottles our spirit mixers from pm pm and enjoy,social
21,fam,we welcomed avery bell stengel on tuesday morning at am lbs oz and could not be more in love the fam is doing really well and finn has already taken on his guard dog role,bio
22,fam,when binging last week instantly recognised this spot just down the road from home no food just beer fam,vocative
23,fam,the wah wah players at the final simon says jazz cafe yes honoured to have had the chance to do this with the fam last year as you can see pure joy,social
24,fam,many people will walk in and out of your life but only true friends leave a footprint on your heart congratulations to my day uno tash tash as we patiently await the arrival of the new addition to the fam,social
25,fam,tonight is the night catch me with the fam at there is only a few tickets remaining so grab them from link in bio i am playing in room so come find me for a roll out,social
26,fam,it is been an incredible years with and i have made the best friends i am excited for new adventures in the future but will always love my ulg fam xx,social
27,fam,follow part of for golden factors of profile optimization for amazing tips tricks and tools with which you can boost your ig game first of all i am sorry i could not actually add everyone here but surely there are more parts to go guys we will do it together here is what you need to know about your profile picture that is the first of the golden factors if profile optimization clearly you have to have something that catches the eyes of viewers whenever they see your account and have a unique way to stand out of the rest so that whenever people come across your picture theme even if your pic is blurred they would know whose profile it is thanks to all the fam of our community to stand together and at the same time be unique and be ourselves so now you know in order to have a differentiating profile you need to have a unique and still clear image about your business brand or your personal brand comment if you liked the concept and know that profile picture matters a lot follow follow follow tag a friend save this post for later turn on post notifications,social
28,fam,reunited with the fam we will get older but nothing ever will keep us apart,bio
29,fam,just eat it turns giveaway today is a very special day on the lcie calendar s just eat it is turning one can you believe to celebrate we are holding a giveaway for our instagram fam we are all about joining forces and sharing resources to ditch the diets this january so have collaborated with some of our friends to bring you some great reading and goodies why not host a body positive book club or share these fab prizes with a friend we have three lots of the following to give away a signed copy of s just eat it a copy of s no big deal a copy of s fat and fertile an assortment of tea to keep you hydrated while you dig in to one of these great reads a set of s mirror affirmation stickers a lcie diet culture dropout tote bag to enter make sure you are following and we will be checking leave a comment tagging two friends you would like to share these goodies with winners will be drawn on monday this competition is open to uk residents only way ahead of us and already read all these books we are also running a free january survival guide through our newsletter each week throughout january we are sending out an email packed full of information tips articles and other resources to help you ditch diet culture for good in hit the link in our bio to sign up for our newsletter to catch the last couple of weeks,social
30,fam,flight club with the fam,social
31,fam,happy friday fam a packed teaching schedule and my sleep game being below average this week meant some patchy training when i am tired or run down i do not force myself to train i know my body and adapt my week accordingly just took an afternoon for me great leg session some chilled laps in the pool and a steam sauna feel refreshed and ready for a weekend of training teaching and seeing the people who matter,vocative
32,fam,after my beloved commuting bike was stolen in november i have finally gotten a replacement introducing the new arrival to the fam,social
33,fam,the coal she would last night with the fam,social
34,fam,hello fam on the th of march we are back at for a late night pineapple pizza special we start at pm and finish at am we have the amazing coming to perform live then yours truly pineapple pizza sound system till late free until pm after,vocative
35,fam,closing night fs so much laughter and love for the garrick fam xx,social
36,fam,to the girls who look like a million bucks after a workout well done this is the best i can muster sweaty af red faced and smiling with one eye it is really easy to over complicate workouts or to make excuses to not show up when you do not have a plan suffer from gymtimidation or would rather do something else with an hour first of all you do not need an hour you just need minutes second of all you do not need a personal trainer or fancy app though i do recommend following a program in the long term if you have specific goals you also do not need to only do cardio or always lift weights or start every session off with a certain number of pushups or whatever other weird parameters your brain might have told you to live by the truth is moving your body is what it is about whatever that looks like for you today tomorrow might look different and that is okay but what do you need to do to move for just minutes today sunday s are my time to run so i set the treadmill up put on netflix and cruised well not really because it was hard but you know what i mean then i walked for minutes and then i decided to do a little full body circuit to finish off it was not planned but i went with how i felt and that feels like a win happy sunday fam,vocative
37,fam,birthday meal out with the fam,bio
38,fam,more sleeps fam if your after a proper party you know where to come throwback from the past little intimate party just like the old days may be fairly dust dedazzling and glittering up the dancers in d basement,vocative
39,fam,fam goals from the theakers,social
40,fam,a classic family portrait in the park this was a freezing cold morning but this fam were such troopers,bio
41,fam,team strong i love mixing it up sometimes and training with my work fam workouts can sometimes feel like a chore its hard for me to find the motivation some days even though i am in a gym surrounded by people working out all day long the shared knowledge friendly competition and positive energy of those closest to me really help to uplift and inspire me,social
42,fam,it is that time of the week sunday roast what will you be having today beef chicken or veggie c mon in and treat yourself and the fam to our roast provided by see you at,bio
43,fam,crazy golf and cocktails made a great afternoon with the fam pre birthday for baby g in an eerily empty west end,bio
44,fam,honoured to have a fam pic with the mc s fraz,social
45,fam,lunch with the fam bam at the wolseley,bio
46,fam,london with the fam catching up with king tut,social
47,fam,still alive well fam made it out of spain right before borders closed wow blessed to be with my dear silly luvly human dears their care in london trying to make it home without putting the house up for sale it is so expensive it is crazy such a bollacks to have to go home on the only vacation you have and yet this is life and currently in a world in hysteria and a pandemic with no steering captain honestly this whole thing is a giant surreal ballocks and it is so crazy being outside of the mothership of the states while it is happening with this incompetent president trying to get back it is wild and yet again in the fray we chose to life for the moments of friendship we have however short here and washing our hands still pray for the ease of flights home for me please you all without having to sell the home this is not easy with all the fees you have to pay to get home it is brutal without some help this would be very hard for most people you all flying is a deep privilege another important aspect of this global pandemic to think on one of many many things to talk about with this global experience we all are being touched by at the moment more soon sleep safe big love see me home safe and sound my friends and take care of each other out there we need each other not isolated from each other,vocative
48,fam,let us get through this together uvc fam,social
49,fam,i know the coronavirus is literally all everyone is talking about right now and i am super aware that it is causing huge amounts of fear and uncertainty for lots of people i just want to put some love out there and say try to keep yourself well keep yourself healthy and do not panic things are going to get better really soon and the best thing you can do for yourself and those around you is to stay as healthy as possible mentally physically we will be back in the kitchen tomorrow to get back on top of the huge amount of outstanding orders we have we keep good health safety measures at all times but will be doing the most in order to keep eachother well safe and if there are any concerns we will readdress the situation immediately thankfully as we are an online retailer we can continue to send your pots straight to your doors as long as there are couriers if you are self isolating and need to change your address please let me know as soon as possible so we can accommodate you i know there is still a huge pile of unread emails in my inbox but i will be coming to them today for transparency i have taken this morning and early afternoon to rest as the the last few weeks have been physically exhausting and i really needed it i will be back to the emails later this afternoon and this evening here is a list of things you can top up on that are not toilet roll and fucking pasta morninga lemons ginger turmeric wheatgrass dairy free everything dairy is the worst for colds and flus and the environment your health cows you get where i am going with this let us just lay off the dairy spirulina although it tastes like death fresh fruits veg basically any and everything that contains good sources of minerals and nutrients have a really restful sunday people sending you your fam all the love bex tyler x,social
50,fam,deserted playground thanks to coronavirus not really this could have told one story but in reality this was just a moment in time and in a few more moments it was filled with kids and westfield was heaving as usual so whatever you choose to do that feels right for you and your fam just beware of pictures telling a story of fear,bio
51,fam,gorgeous silly weekend with the fam,bio
52,fam,woke up am motivated checked my phone and it was man like hollering saying yo nav where you at i did not even bathe or brush teet fam straight in the gear and out deh by am come see us if you really want to go next level we do not do body building you might not get a six pack but i can guarantee that the fitness and nutrition program that we can inspire you to follow through advise you on will help you to live longer in a healthier state of body mind you might think i cannot do it if that is what you think before you start then you defeated yourself before you started you feel me but if you say i can by the end of this month you will be amazed at how you will feel and the levels of energy you will have trust me i can make excuses too it is not hard to make an appointment excuse there are people out here with amputated limbs that are on it everyday you feel me want to get fit quick holla fam we just getting started it is never too late,vocative
53,fam,ugly baby warning ewww fam ngl i was some ugly bby though thank god i had a glow up i have an obsession with the rd pic idek y bye fam i legit picked the ugly ones though or what the weird funny ones ig,vocative
54,fam,the fam aced potions class love you guys so much first post,social
55,fam,too special not to post so grateful the fam got to come visit london cue here comes the sun which is now stuck in my head,bio
56,fam,the fam new steps for here is to full sight,social
57,fam,my guy my guy everytime we link up it is always a movie fam even when they shanked some guy around where we are rip to the guy what a good way to sign out of london see you soon bruv and thanks for the token of,vocative
